Category,2024 4Q,2024 3Q,2024 2Q,2024 1Q,2023 4Q,2023 3Q,2023 2Q,2023 1Q,2022 4Q,2022 3Q,2022 2Q,2022 1Q
Wholesale & Retail Trade,9,16,11,13,3,6,-10,-8,-5,-7,6,17
Wholesale Trade,9,15,11,15,1,3,-11,-7,-6,-10,4,19
Retail Trade,8,34,4,-24,20,33,8,-19,8,31,27,-5
Accommodation & Food Services,-6,17,18,2,9,37,38,18,3,55,58,9
Accommodation,4,13,33,24,29,44,44,21,16,48,62,15
Food & Beverage Services,-16,21,5,-19,-13,29,31,15,-10,63,55,3
Transportation & Storage,-8,0,30,-4,-17,1,22,-5,12,15,32,23
Information & Communications,16,21,15,10,5,10,7,0,-4,10,8,7
Finance & Insurance,14,14,15,8,19,6,14,15,2,4,14,18
Banks & Finance Companies,26,10,22,-4,2,-15,0,6,1,-8,22,19
Security Dealing Activities,13,0,15,0,0,-6,15,-6,14,-13,-1,40
Fund Management,10,8,7,7,0,0,7,7,-19,-34,-37,0
Insurance Companies,9,3,4,24,18,16,20,17,23,31,21,16
Other Financial Services,1,31,18,34,60,42,39,34,-1,26,18,25
Real Estate,2,2,1,-2,4,8,2,-11,2,-5,5,1
Professional And Administrative & Support Services,-1,10,7,-1,2,18,15,13,12,20,12,11
Professional Services,-7,8,5,-3,-2,26,22,15,15,30,18,10
Administrative & Support Services,10,12,10,2,8,0,0,8,4,1,2,12
"Recreation, Community & Personal Services",9,15,11,12,8,11,18,20,12,34,30,16
